No.,label,Mnemonic,SubSpecies,Quadrat,PX,PY,PXE,PXN,PYE,PYN,UTM Northi,UTM Eastin,TreeID,Tag,StemID,StemTag,Census,DBH,HOM,Date,Codes,Stem,Status,geometry,easting_short,northing_short,tree_id
16467,Acacia brevispica,ACACBR,,5117,1015.9054,329.46524,915.519707,440.3265242,-142.8009773,296.9094563,32145.55598,263682.1887,183690,513204,377684,513204,1,15.0,0.52,4/25/12,"M,Q",main,alive,POINT (263682.1887 32145.55598),263682.0,32146.0,9643
16507,Acacia brevispica,ACACBR,,5118,1007.60559,347.03918,908.0400345,436.7291159,-150.4180959,312.7468447,32157.79596,263667.0919,183748,513418,377898,513418,1,30.0,0.5,5/11/12,M,main,alive,POINT (263667.0919 32157.79596),263667.0,32158.0,8912
16541,Acacia brevispica,ACACBR,,5118,1009.52051,346.01208,909.7657336,437.5591047,-149.9729173,311.8212366,32157.70034,263669.2628,183769,513502,377982,513502,1,14.0,0.5,5/11/12,"M,Q",main,alive,POINT (263669.2628 32157.70034),263669.0,32158.0,8913
16550,Acacia brevispica,ACACBR,,5118,1006.15417,342.08429,906.7320352,436.1000232,-148.270485,308.2815673,32152.70159,263667.9316,183780,513542,378022,513542,1,20.0,0.5,5/11/12,M,main,alive,POINT (263667.9316 32152.70159),263668.0,32153.0,9219
16608,Acacia brevispica,ACACBR,,5118,1002.02069,357.46439,903.0070009,434.3084382,-154.9367218,322.1418978,32164.77034,263657.5403,183823,513694,378173,513694,1,22.0,0.5,5/11/12,M,main,alive,POINT (263657.5403 32164.77034),263658.0,32165.0,8451
16632,Acacia brevispica,ACACBR,,5118,1006.81384,355.26111,907.3265205,436.3859456,-153.9817484,320.1563328,32164.86228,263662.8148,183845,513791,378270,513791,1,16.0,0.5,5/11/12,M,main,alive,POINT (263662.8148 32164.86228),263663.0,32165.0,8423
16658,Acacia brevispica,ACACBR,,5118,1009.59979,356.1066,909.8371796,437.5934672,-154.3482114,320.9182765,32166.83174,263664.959,183864,513870,378349,513870,1,12.0,0.5,5/11/12,,main,alive,POINT (263664.959 32166.83174),263665.0,32167.0,8320
16734,Acacia brevispica,ACACBR,,5118,1012.3728,353.30371,912.3361774,438.7953802,-153.1333475,318.3923513,32165.50773,263668.6728,183904,514044,378522,514044,1,20.0,0.5,5/11/12,M,main,alive,POINT (263668.6728 32165.50773),263669.0,32166.0,8382
16853,Acacia brevispica,ACACBR,,5118,1012.10779,340.91406,912.0973541,438.6805162,-147.7632692,307.2269724,32154.22749,263673.8041,183969,514306,378784,514306,1,20.0,0.5,5/11/12,"M,Q",main,alive,POINT (263673.8041 32154.22749),263674.0,32154.0,9137
16919,Acacia brevispica,ACACBR,,5118,1016.79089,341.09286,916.3176981,440.7103244,-147.8407669,307.3881045,32156.41843,263677.9469,184036,514530,379007,514530,1,25.0,0.5,5/11/12,M,main,alive,POINT (263677.9469 32156.41843),263678.0,32156.0,9071
16954,Acacia brevispica,ACACBR,,5119,1002.87213,366.36234,903.7743067,434.67748,-158.7933835,330.1606057,32173.15809,263654.4509,184083,514677,379154,514677,1,11.0,0.5,10/9/12,Q,main,alive,POINT (263654.4509 32173.15809),263654.0,32173.0,7907
17055,Acacia brevispica,ACACBR,,5119,1019.83649,375.37509,919.0623502,442.0303868,-162.6998032,338.2827696,32188.63316,263665.8325,184242,515198,379675,515198,1,14.0,0.5,10/9/12,Q,main,alive,POINT (263665.8325 32188.63316),263666.0,32189.0,6900
17061,Acacia brevispica,ACACBR,,5119,1019.70581,370.8504,918.9445832,441.9737458,-160.738655,334.2051824,32184.49893,263667.6759,184265,515270,379746,515270,1,13.0,0.5,10/9/12,,main,alive,POINT (263667.6759 32184.49893),263668.0,32184.0,7251
17075,Acacia brevispica,ACACBR,,5119,1019.08502,368.22858,918.3851359,441.7046752,-159.6022727,331.842435,32181.86711,263668.2529,184308,515431,379907,515431,1,15.0,0.5,10/9/12,"M,Q",main,alive,POINT (263668.2529 32181.86711),263668.0,32182.0,7417
17079,Acacia brevispica,ACACBR,,5119,1019.7876,365.54205,919.0182912,442.0091962,-158.437843,329.4213718,32179.75057,263670.0504,184314,515447,379923,515447,1,11.0,0.5,10/9/12,,main,alive,POINT (263670.0504 32179.75057),263670.0,32180.0,7504
17080,Acacia brevispica,ACACBR,,5119,1018.4967,360.39575,917.8549502,441.4496781,-156.2072688,324.7835984,32174.55328,263671.1177,184316,515450,379926,515450,1,18.0,0.5,10/9/12,"M,Q",main,alive,POINT (263671.1177 32174.55328),263671.0,32175.0,7819
17183,Acacia brevispica,ACACBR,,5120,1018.72961,386.13937,918.0648454,441.5506289,-167.3653931,347.9833879,32197.85402,263660.1695,184536,516420,380896,516420,1,24.0,0.5,10/18/14,M,main,alive,POINT (263660.1695 32197.85402),263660.0,32198.0,6490
17228,Acacia brevispica,ACACBR,,5120,1016.90521,383.33203,916.4207217,440.7598744,-166.1486004,345.4534524,32194.53333,263659.7421,184574,516568,381044,516568,1,14.0,0.5,10/18/14,M,main,alive,POINT (263659.7421 32194.53333),263660.0,32195.0,6655
17238,Acacia brevispica,ACACBR,,5120,1019.07739,382.0925,918.3782599,441.7013681,-165.6113477,344.3364054,32194.35777,263662.2369,184587,516635,381111,516635,1,31.0,0.5,10/18/14,M,main,alive,POINT (263662.2369 32194.35777),263662.0,32194.0,6677
17271,Acacia brevispica,ACACBR,,5121,1019.75403,417.1521,918.9880384,441.9946459,-180.8073215,375.9316255,32226.24627,263647.6507,184725,517210,381686,517210,1,14.0,0.5,10/20/14,,main,alive,POINT (263647.6507 32226.24627),263648.0,32226.0,5064
17272,Acacia brevispica,ACACBR,,5121,1018.86713,410.31821,918.1887765,441.6102345,-177.8452907,369.7730196,32219.70325,263649.8135,184728,517226,381702,517226,1,22.0,0.5,10/20/14,,main,alive,POINT (263649.8135 32219.70325),263650.0,32220.0,5378
17308,Acacia brevispica,ACACBR,,5121,1012.24561,400.2045,912.2215555,438.7402519,-173.4616791,360.6586859,32207.71894,263648.2299,184750,517333,381809,517333,1,12.0,0.5,10/20/14,Q,main,alive,POINT (263648.2299 32207.71894),263648.0,32208.0,5904
17324,Acacia brevispica,ACACBR,,5121,1019.33197,407.50223,918.6076838,441.8117113,-176.6247532,367.2352979,32217.36701,263651.4529,184787,517472,381948,517472,1,30.0,0.5,10/20/14,M,main,alive,POINT (263651.4529 32217.36701),263651.0,32217.0,5449
17396,Acacia brevispica,ACACBR,,5122,1001.32355,425.5206,902.3787481,434.0062749,-184.4345022,383.4732004,32225.79948,263627.4142,184831,517773,382249,517773,1,19.0,0.5,10/23/14,M,main,alive,POINT (263627.4142 32225.79948),263627.0,32226.0,5030
17420,Acacia brevispica,ACACBR,,5122,1008.67645,427.37238,909.0050786,437.1932615,-185.2371241,385.1419986,32230.65526,263633.238,184854,517898,382374,517898,1,16.0,0.5,10/23/14,"M,Q",main,alive,POINT (263633.238 32230.65526),263633.0,32231.0,4742
17453,Acacia brevispica,ACACBR,,5122,1014.78162,434.2738,914.5069722,439.8394413,-188.2284245,391.3614615,32239.5209,263635.7485,184967,518366,382842,518366,1,13.0,0.5,10/23/14,M,main,alive,POINT (263635.7485 32239.5209),263636.0,32240.0,4283
17472,Acacia brevispica,ACACBR,,5122,1018.6615,430.45081,918.0034657,441.5211078,-186.571416,387.9162365,32237.75734,263640.902,185004,518546,383022,518546,1,22.0,0.47,10/23/14,M,main,alive,POINT (263640.902 32237.75734),263641.0,32238.0,4363
17513,Acacia brevispica,ACACBR,,5122,1010.22888,424.15747,910.4041067,437.8661353,-183.8436772,382.2447667,32228.4309,263636.0304,185024,518669,383145,518669,1,26.0,0.5,10/23/14,M,main,alive,POINT (263636.0304 32228.4309),263636.0,32228.0,4918
17546,Acacia brevispica,ACACBR,,5122,1014.41632,426.23901,914.1777689,439.6811084,-184.7458846,384.1206214,32232.12173,263638.9019,185054,518796,383272,518796,1,13.0,0.5,10/23/14,M,main,alive,POINT (263638.9019 32232.12173),263639.0,32232.0,4685
17587,Acacia brevispica,ACACBR,,5123,1018.85303,454.29251,918.1760698,441.6041231,-196.9051861,409.4020424,32259.32617,263630.7409,182657,5110003,373334,5110003,1,16.0,0.5,10/26/14,M,main,alive,POINT (263630.7409 32259.32617),263631.0,32259.0,3406
17613,Acacia brevispica,ACACBR,,5123,1012.93347,442.15118,912.8414453,439.0383928,-191.6427378,398.460446,32245.81884,263630.6687,182679,5110100,373441,5110100,1,17.0,0.5,10/26/14,M,main,alive,POINT (263630.6687 32245.81884),263631.0,32246.0,3994
17661,Acacia brevispica,ACACBR,,5123,1018.17712,443.84796,917.5669492,441.3111617,-192.3781776,399.9895603,32249.62072,263634.6588,182735,5110292,373658,5110292,1,11.0,0.5,10/26/14,M,main,alive,POINT (263634.6588 32249.62072),263635.0,32250.0,3838
17738,Acacia brevispica,ACACBR,,5123,1008.88092,441.4747,909.1893441,437.2818855,-191.3495294,397.8508117,32243.4527,263627.3098,185174,519274,383750,519274,1,14.0,0.5,10/26/14,"M,Q",main,alive,POINT (263627.3098 32243.4527),263627.0,32243.0,4120
17931,Acacia brevispica,ACACBR,,5123,1011.14563,453.36411,911.230269,438.2634847,-196.5027873,408.5653813,32255.14887,263624.1975,185252,519690,384166,519690,1,19.0,0.47,10/26/14,"M,Q",main,alive,POINT (263624.1975 32255.14887),263624.0,32255.0,3603
17938,Acacia brevispica,ACACBR,,5123,1013.1543,455.50449,913.0404542,439.1341077,-197.4304978,410.4942618,32257.94837,263625.08,185257,519701,384177,519701,1,15.0,0.5,10/26/14,"M,Q",main,alive,POINT (263625.08 32257.94837),263625.0,32258.0,3430
17997,Acacia brevispica,ACACBR,,5123,1010.96021,459.1402,911.0631711,438.1831176,-199.006333,413.7707127,32260.27383,263621.5268,185259,519760,384236,519760,1,17.0,0.5,10/26/14,"M,Q",main,alive,POINT (263621.5268 32260.27383),263622.0,32260.0,3366
18059,Acacia brevispica,ACACBR,,5123,1016.08441,450.8952,915.6810283,440.404113,-195.4326812,406.3404342,32255.06455,263629.7183,185288,519958,384434,519958,1,29.0,0.45,10/26/14,"I,M",main,alive,POINT (263629.7183 32255.06455),263630.0,32255.0,3605
18092,Acacia brevispica,ACACBR,,5124,1002.0,462.22501,902.9883554,434.2994704,-200.3433903,416.5507002,32259.17017,263612.115,182747,5110344,373710,5110344,1,18.0,0.5,11/8/14,"M,Q",main,alive,POINT (263612.115 32259.17017),263612.0,32259.0,3403
18115,Acacia brevispica,ACACBR,,5124,1008.04907,465.32565,908.4396925,436.9213346,-201.6873088,419.3449535,32264.58629,263616.2224,182774,5110437,373810,5110437,1,11.0,0.5,11/8/14,,main,alive,POINT (263616.2224 32264.58629),263616.0,32265.0,3109
18120,Acacia brevispica,ACACBR,,5124,1009.20245,468.57108,909.4791024,437.4212471,-203.0939839,422.2696895,32268.01094,263615.8551,182785,5110474,373854,5110474,1,15.0,0.5,11/8/14,,main,alive,POINT (263615.8551 32268.01094),263616.0,32268.0,2997
